"msisdn,username,password,hostname"
"923108152417,preprod_praveen07,praveen123,hgc-intl.com"
"923300655983,priyantha1,priyantha1,hgc-intl.com"
"923113117260,user_app1,pw123,hgc-intl.com"
"923367295702,user_app1,pw123,hgc-intl.com"
"923174152019,preprod_praveen07,praveen123,hgc-intl.com"
"923164593949,priyantha1,priyantha1,hgc-intl.com"
"923108152413,user_app1,pw123,hgc-intl.com"
"923342297957,preprod_praveen07,praveen123,hgc-intl.com"
"923186940871,priyantha1,priyantha1,hgc-intl.com"
"923345180792,user_app1,pw123,hgc-intl.com"
"923108152399,preprod_praveen07,praveen123,hgc-intl.com"
"923108152396,preprod_praveen07,praveen123,hgc-intl.com"
"923327443928,priyantha1,priyantha1,hgc-intl.com"
"923108152393,preprod_praveen07,praveen123,hgc-intl.com"
"923342297613,preprod_praveen07,praveen123,hgc-intl.com"
"923364064627,user_app1,pw123,hgc-intl.com"
"923184375712,preprod_praveen07,praveen123,hgc-intl.com"
"923326281674,priyantha1,priyantha1,hgc-intl.com"
"923108152415,user_app1,pw123,hgc-intl.com"
"923342297979,preprod_praveen07,praveen123,hgc-intl.com"
"923153074452,priyantha1,priyantha1,hgc-intl.com"
"923108152416,user_app1,pw123,hgc-intl.com"
"923343272208,user_app1,pw123,hgc-intl.com"
"923193698327,priyantha1,priyantha1,hgc-intl.com"
"923108152388,preprod_praveen07,praveen123,hgc-intl.com"
"923342330188,user_app1,pw123,hgc-intl.com"
"923141753072,user_app1,pw123,hgc-intl.com"
"923366509781,preprod_praveen07,praveen123,hgc-intl.com"
"923326951147,priyantha1,priyantha1,hgc-intl.com"
"923327522948,user_app1,pw123,hgc-intl.com"
"923342299247,preprod_praveen07,praveen123,hgc-intl.com"
"923342299324,preprod_praveen07,praveen123,hgc-intl.com"
"923342299521,preprod_praveen07,praveen123,hgc-intl.com"
"923342297860,preprod_praveen07,praveen123,hgc-intl.com"
"923079187035,preprod_praveen07,praveen123,hgc-intl.com"
"923342299369,preprod_praveen07,praveen123,hgc-intl.com"
"923314302609,user_app1,pw123,hgc-intl.com"
"923108152409,user_app1,pw123,hgc-intl.com"
"923342297629,preprod_praveen07,praveen123,hgc-intl.com"
"923315751897,user_app1,pw123,hgc-intl.com"
"923364231367,preprod_praveen07,praveen123,hgc-intl.com"
"923199110956,priyantha1,priyantha1,hgc-intl.com"
"923108152404,preprod_praveen07,praveen123,hgc-intl.com"
"923108152405,preprod_praveen07,praveen123,hgc-intl.com"
"923350441009,priyantha1,priyantha1,hgc-intl.com"
"923319497991,user_app1,pw123,hgc-intl.com"
"923319498161,user_app1,pw123,hgc-intl.com"
"923108152010,preprod_praveen07,praveen123,hgc-intl.com"
"923312218437,priyantha1,priyantha1,hgc-intl.com"
"923343423612,user_app1,pw123,hgc-intl.com"
"923345604654,user_app1,pw123,hgc-intl.com"
"923373253859,user_app1,pw123,hgc-intl.com"
"923342299338,preprod_praveen07,praveen123,hgc-intl.com"
"923098812876,preprod_praveen07,praveen123,hgc-intl.com"
"923341075091,priyantha1,priyantha1,hgc-intl.com"
"923191456547,user_app1,pw123,hgc-intl.com"
"923357911349,user_app1,pw123,hgc-intl.com"
"923342297838,preprod_praveen07,praveen123,hgc-intl.com"
"923199155995,priyantha1,priyantha1,hgc-intl.com"
"923108152402,preprod_praveen07,praveen123,hgc-intl.com"
"923108152400,preprod_praveen07,praveen123,hgc-intl.com"
"923319498013,user_app1,pw123,hgc-intl.com"
"923370480842,user_app1,pw123,hgc-intl.com"
"923314159254,preprod_praveen07,praveen123,hgc-intl.com"
"923376917419,user_app1,pw123,hgc-intl.com"
"923108152364,preprod_praveen07,praveen123,hgc-intl.com"
"923342297550,preprod_praveen07,praveen123,hgc-intl.com"
"923369613127,preprod_praveen07,praveen123,hgc-intl.com"
"923319498016,user_app1,pw123,hgc-intl.com"
"923342297800,preprod_praveen07,praveen123,hgc-intl.com"
"923304325906,priyantha1,priyantha1,hgc-intl.com"
"923325841871,user_app1,pw123,hgc-intl.com"
"923345245430,user_app1,pw123,hgc-intl.com"
"923350289277,user_app1,pw123,hgc-intl.com"
"923342297643,preprod_praveen07,praveen123,hgc-intl.com"
"923301471218,preprod_praveen07,praveen123,hgc-intl.com"
"923113117286,user_app1,pw123,hgc-intl.com"
"923342330116,user_app1,pw123,hgc-intl.com"
"923345078669,user_app1,pw123,hgc-intl.com"
"923377154002,user_app1,pw123,hgc-intl.com"
"923345276452,user_app1,pw123,hgc-intl.com"
"923349851725,user_app1,pw123,hgc-intl.com"
"923320905363,preprod_praveen07,praveen123,hgc-intl.com"
"923108152354,preprod_praveen07,praveen123,hgc-intl.com"
"923350460785,user_app1,pw123,hgc-intl.com"
"923124824245,user_app1,pw123,hgc-intl.com"
"923108152352,preprod_praveen07,praveen123,hgc-intl.com"
"923021365659,preprod_praveen07,praveen123,hgc-intl.com"
"923108152351,preprod_praveen07,praveen123,hgc-intl.com"
"923371214529,preprod_praveen07,praveen123,hgc-intl.com"
"923319183629,user_app1,pw123,hgc-intl.com"
"923342297681,preprod_praveen07,praveen123,hgc-intl.com"
"923342298052,preprod_praveen07,praveen123,hgc-intl.com"
"923342299460,preprod_praveen07,praveen123,hgc-intl.com"
"923641234568,user_app1,pw123,hgc-intl.com"
"923641234567,user_app1,pw123,hgc-intl.com"
"923101234568,user_app1,pw123,hgc-intl.com"
